CampaignID,DataAccess,StartDate,EndDate,Notes
110000001,Public,8308,8308,
110000002,Public,8310,8310,
110000003,Public,8314,8314,
110000004,Public,8320,8320,
110000005,Public,8323,8323,
110000006,Public,8327,8327,
110000007,Public,8328,8328,
110000008,Public,8330,8330,
110000009,Public,8336,8336,
110000010,Public,8337,8337,
110000011,Public,8343,8343,
110000012,Public,8348,8348,
110000013,Public,8351,8351,
110000014,Public,8359,8359,
110000015,Public,8366,8366,
110000016,Public,8376,8376,
110000017,Public,8377,8377,
110000018,Public,8378,8378,
110000019,Public,8387,8387,
110000020,Public,8392,8392,
110000021,Public,8405,8405,
110000022,Public,8414,8414,
110000023,Public,8426,8426,
110000024,Public,8432,8432,
110000025,Public,8439,8439,
110000026,Public,8441,8441,
110000027,Public,8442,8442,
110000028,Public,8443,8443,
110000029,Public,8446,8446,
110000030,Public,8447,8447,
110000031,Public,8449,8449,
110000032,Public,8454,8454,
110000033,Public,8455,8455,
110000034,Public,8456,8456,
110000035,Public,8468,8468,
110000036,Public,8470,8470,
110000037,Public,8474,8474,
110000038,Public,8481,8481,
110000039,Public,8483,8483,
110000040,Public,8489,8489,
110000041,Public,8490,8490,
110000042,Public,8492,8492,
110000043,Public,8504,8504,
110000044,Public,8513,8513,
110000045,Public,8516,8516,
110000046,Public,8520,8520,
110000047,Public,8526,8526,
110000048,Public,8537,8537,
110000049,Public,8538,8538,
110000050,Public,8539,8539,
110000051,Public,8546,8546,
110000052,Public,8567,8567,
110000053,Public,8568,8568,
110000054,Public,8569,8569,
110000055,Public,8572,8572,
110000056,Public,8575,8575,
110000057,Public,8582,8582,
110000058,Public,8596,8596,
110000059,Public,8616,8616,
110000060,Public,8631,8631,
110000061,Public,8642,8642,
110000062,Public,8643,8643,
110000063,Public,8644,8644,
110000064,Public,8645,8645,
110000065,Public,8660,8660,
110000066,Public,8674,8674,
110000067,Public,8698,8698,
110000068,Public,8700,8700,
110000069,Public,8701,8701,
110000070,Public,8716,8716,
110000071,Public,8723,8723,
110000072,Public,8729,8729,
110000073,Public,8737,8737,
110000074,Public,8748,8748,
110000075,Public,8751,8751,
110000076,Public,8755,8755,
110000077,Public,8763,8763,
110000078,Public,8777,8777,
110000079,Public,8786,8786,
110000080,Public,8796,8796,
110000081,Public,8798,8798,
110000082,Public,8803,8803,
110000083,Public,8804,8804,
110000084,Public,8805,8805,
110000085,Public,8806,8806,
110000086,Public,8818,8818,
110000087,Public,8824,8824,
110000088,Public,8825,8825,
110000089,Public,8826,8826,
110000090,Public,8827,8827,
110000091,Public,8828,8828,
110000092,Public,8835,8835,
110000093,Public,8846,8846,
110000094,Public,8884,8884,
110000095,Public,8894,8894,
110000096,Public,8895,8895,
110000097,Public,9056,9056,
110000098,Public,9066,9066,
110000099,Public,9077,9077,
110000100,Public,9086,9086,
